query_name,generic_class,query_family,edge_position,edge_id,name,source,target,semantic_type,observed_cardinality,hint_confidence
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,2,Corporation -- Country [corporation_has_country],corporation_has_country,Corporation,Country,descriptor,observed_N_to_M,high
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,3,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,no_observed_matches,medium
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,no_observed_matches,medium
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,2,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,observed_N_to_M,high
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,3,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,observed_N_to_M,high
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,4,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,observed_N_to_M,high
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,5,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,BuyTransaction,Transaction,subtype,observed_1_to_1,medium
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,6,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,observed_1_to_1,medium
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,no_observed_matches,medium
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,2,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,observed_N_to_M,high
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,3,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,observed_1_to_1,medium
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,1,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,observed_N_to_M,high
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,2,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,observed_N_to_M,high
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,3,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,observed_N_to_M,high
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,4,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,BuyTransaction,Transaction,subtype,observed_1_to_1,medium
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,5,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,observed_1_to_1,medium
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,1,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,observed_N_to_M,high
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,2,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,observed_N_to_M,high
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,3,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,observed_N_to_M,high
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,4,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,observed_N_to_M,high
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,5,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,BuyTransaction,Transaction,subtype,observed_1_to_1,medium
