watchitem_id,person_id,name,role_type
37,111,Person 111,Producer
38,44,Person 44,Actor
38,94,Person 94,Actor
38,103,Person 103,Actor
39,69,Person 69,Actor
39,18,Person 18,Director
39,25,Person 25,Director
39,58,Person 58,Director
40,32,Person 32,Actor
40,112,Person 112,Director
40,119,Person 119,Producer
41,7,Person 7,Actor
41,84,Person 84,Actor
41,13,Person 13,Producer
42,97,Person 97,Actor
42,119,Person 119,Actor
43,62,Person 62,Actor
43,63,Person 63,Actor
43,111,Person 111,Actor
43,28,Person 28,Director
43,53,Person 53,Director
44,34,Person 34,Director
44,50,Person 50,Director
45,55,Person 55,Producer
45,90,Person 90,Producer
46,63,Person 63,Actor
46,92,Person 92,Actor
46,85,Person 85,Director
46,20,Person 20,Producer
46,25,Person 25,Producer
47,8,Person 8,Actor
47,70,Person 70,Actor
47,41,Person 41,Director
47,96,Person 96,Producer
48,110,Person 110,Actor
48,118,Person 118,Actor
48,65,Person 65,Producer
49,66,Person 66,Actor
49,109,Person 109,Actor
49,11,Person 11,Producer
49,24,Person 24,Producer
50,52,Person 52,Actor
50,111,Person 111,Actor
50,31,Person 31,Producer
51,75,Person 75,Actor
51,77,Person 77,Producer
52,75,Person 75,Director
52,85,Person 85,Director
52,11,Person 11,Producer
52,54,Person 54,Producer
53,86,Person 86,Director
53,27,Person 27,Producer
54,17,Person 17,Director
54,51,Person 51,Director
54,31,Person 31,Producer
54,34,Person 34,Producer
55,10,Person 10,Actor
55,41,Person 41,Actor
55,119,Person 119,Director
55,97,Person 97,Producer
55,120,Person 120,Producer
56,10,Person 10,Actor
56,28,Person 28,Actor
56,65,Person 65,Actor
56,34,Person 34,Director
56,69,Person 69,Director
57,57,Person 57,Director
57,21,Person 21,Producer
57,37,Person 37,Producer
58,2,Person 2,Actor
58,84,Person 84,Director
58,68,Person 68,Producer
58,79,Person 79,Producer
58,104,Person 104,Producer
59,15,Person 15,Actor
59,113,Person 113,Actor
59,18,Person 18,Producer
59,34,Person 34,Producer
60,35,Person 35,Actor
60,78,Person 78,Director
60,37,Person 37,Producer
61,88,Person 88,Director
61,27,Person 27,Producer
62,63,Person 63,Actor
62,65,Person 65,Actor
62,33,Person 33,Producer
63,36,Person 36,Actor
63,55,Person 55,Actor
63,107,Person 107,Director
63,6,Person 6,Producer
64,57,Person 57,Actor
64,71,Person 71,Actor
64,21,Person 21,Director
64,34,Person 34,Producer
64,95,Person 95,Producer
65,114,Person 114,Actor
65,10,Person 10,Producer
66,107,Person 107,Actor
66,48,Person 48,Director
66,5,Person 5,Producer
66,70,Person 70,Producer
67,17,Person 17,Actor
67,40,Person 40,Actor
67,116,Person 116,Actor
67,6,Person 6,Director
67,47,Person 47,Producer
68,72,Person 72,Actor
68,100,Person 100,Actor
68,86,Person 86,Director
68,14,Person 14,Producer
68,46,Person 46,Producer
69,103,Person 103,Actor
69,111,Person 111,Actor
69,21,Person 21,Director
70,23,Person 23,Director
70,95,Person 95,Director
71,86,Person 86,Actor
71,111,Person 111,Director
71,103,Person 103,Producer
72,14,Person 14,Actor
72,21,Person 21,Actor
72,90,Person 90,Actor
72,49,Person 49,Director
72,101,Person 101,Director
73,40,Person 40,Actor
73,45,Person 45,Actor
73,106,Person 106,Actor
73,112,Person 112,Actor
73,102,Person 102,Producer
74,52,Person 52,Actor
74,36,Person 36,Director
74,43,Person 43,Director
74,111,Person 111,Producer
75,52,Person 52,Producer
75,66,Person 66,Producer
76,43,Person 43,Actor
76,4,Person 4,Director
77,23,Person 23,Actor
77,75,Person 75,Actor
77,34,Person 34,Producer
78,45,Person 45,Director
78,56,Person 56,Director
78,94,Person 94,Producer
78,101,Person 101,Producer
79,50,Person 50,Actor
79,15,Person 15,Producer
80,33,Person 33,Actor
80,6,Person 6,Producer
80,56,Person 56,Producer
80,91,Person 91,Producer
