candidate_id,collection_name,root_entity,documents_inserted,elapsed_seconds,load_status
q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,persons_shared_refs,Person,50100,9.713204926927574,completed
q4_companies_reached_from_person_through_account_holding_listed_security__g7__update_aware_references,persons_update_aware,Person,50100,9.418834788026288,completed
q4_companies_reached_from_person_through_account_holding_listed_security__g9__tradeoff_benchmark_candidate,persons_tradeoff,Person,50100,9.939487725961953,completed
q5_reports_and_metric_data_of_company__control__normalized_reference_baseline,corporations_normalized_baseline,Corporation,69720,52.234070157050155,completed
q5_reports_and_metric_data_of_company__g2__embed_containment_children,corporations_with_containment,Corporation,69720,268.5497363229515,completed
q5_reports_and_metric_data_of_company__g4__deep_nested_path,corporations_deep_nested,Corporation,69720,268.4058041359531,completed
q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,corporations_tradeoff,Corporation,69720,51.833704883931205,completed
q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline,listed_securitys_normalized_baseline,ListedSecurity,82350,10.018397418083623,completed
q6_tech_uslisted_securities_with_high_last_traded_value__g1__embed_descriptors,listed_securitys_with_descriptors,ListedSecurity,82350,9.135573104023933,completed
q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,listed_securitys_with_references,ListedSecurity,82350,8.389843313023448,completed
q6_tech_uslisted_securities_with_high_last_traded_value__g5__shared_targets_as_references,listed_securitys_shared_refs,ListedSecurity,82350,10.721086420002393,completed
q6_tech_uslisted_securities_with_high_last_traded_value__g7__update_aware_references,listed_securitys_update_aware,ListedSecurity,82350,10.7357591050677,completed
q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,listed_securitys_tradeoff,ListedSecurity,82350,10.780961927957833,completed
q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline,persons_normalized_baseline,Person,50100,10.411001876927912,completed
q7_persons_who_bought_more_ibmthan_sold__g2__embed_containment_children,persons_with_containment,Person,50100,5.015592459007166,completed
q7_persons_who_bought_more_ibmthan_sold__g3__association_references,persons_with_references,Person,50100,9.099513615015894,completed
q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,persons_deep_nested,Person,50100,24.739653818076476,completed
q7_persons_who_bought_more_ibmthan_sold__g5__shared_targets_as_references,persons_shared_refs,Person,50100,10.430240596062504,completed
q7_persons_who_bought_more_ibmthan_sold__g6__materialized_query_view,persons_q7_persons_who_bought_more_ibmthan_sold_materialized,Person,50100,25.306207407964393,completed
q7_persons_who_bought_more_ibmthan_sold__g7__update_aware_references,persons_update_aware,Person,50100,10.656596479937434,completed
q7_persons_who_bought_more_ibmthan_sold__g9__tradeoff_benchmark_candidate,persons_tradeoff,Person,50100,10.902632597018965,completed
q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline,transactions_normalized_baseline,Transaction,500000,699.1254532799358,completed
q8_ibmtransactions_below_average_selling_price__g3__association_references,transactions_with_references,Transaction,500000,692.9250383820618,completed
q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,transactions_shared_refs,Transaction,500000,702.2498760169838,completed
q8_ibmtransactions_below_average_selling_price__g6__materialized_query_view,transactions_q8_ibmtransactions_below_average_selling_price_materialized,Transaction,500000,3134.3283388239797,completed
q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,transactions_update_aware,Transaction,500000,704.9193463310366,completed
q8_ibmtransactions_below_average_selling_price__g9__tradeoff_benchmark_candidate,transactions_tradeoff,Transaction,500000,701.2568280380219,completed
q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline,persons_normalized_baseline,Person,50100,9.605452287010849,completed
q9_persons_who_bought_and_sold_same_stock__g2__embed_containment_children,persons_with_containment,Person,50100,5.09094484790694,completed
q9_persons_who_bought_and_sold_same_stock__g3__association_references,persons_with_references,Person,50100,9.01857325900346,completed
q9_persons_who_bought_and_sold_same_stock__g4__deep_nested_path,persons_deep_nested,Person,50100,24.48399121593684,completed
q9_persons_who_bought_and_sold_same_stock__g5__shared_targets_as_references,persons_shared_refs,Person,50100,10.056141400011256,completed
q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,persons_update_aware,Person,50100,10.566414231900126,completed
q9_persons_who_bought_and_sold_same_stock__g9__tradeoff_benchmark_candidate,persons_tradeoff,Person,50100,10.489867110038176,completed
