scope,alias,view_name,column_name,column_type,null,key,default,extra,normalized_column,looks_like_key
raw,financialserviceaccount,fiben_raw_financialserviceaccount,HASACCOUNTNUMBER,BIGINT,YES,,,,hasaccountnumber,True
raw,financialserviceaccount,fiben_raw_financialserviceaccount,HASSTARTDATE,VARCHAR,YES,,,,hasstartdate,False
raw,holding,fiben_raw_holding,HOLDINGID,BIGINT,YES,,,,holdingid,True
raw,holding,fiben_raw_holding,ISHELDBY,BIGINT,YES,,,,isheldby,False
raw,holding,fiben_raw_holding,REFERSTO,BIGINT,YES,,,,refersto,False
raw,holding,fiben_raw_holding,HASDESCRIPTION,VARCHAR,YES,,,,hasdescription,False
raw,holding,fiben_raw_holding,HASCOUNT,DOUBLE,YES,,,,hascount,False
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,INDUSTRYSECTORCLASSIFIERID,BIGINT,YES,,,,industrysectorclassifierid,True
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,ISDEFINEDBY,BIGINT,YES,,,,isdefinedby,False
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,HASUNIQUEIDENTIFIER,BIGINT,YES,,,,hasuniqueidentifier,True
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,HASDESCRIPTION,VARCHAR,YES,,,,hasdescription,False
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,HASNUMERICCODE,BIGINT,YES,,,,hasnumericcode,True
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,HASFORMALNAME,VARCHAR,YES,,,,hasformalname,False
raw,listedsecurity,fiben_raw_listedsecurity,LISTEDSECURITYID,BIGINT,YES,,,,listedsecurityid,True
raw,listedsecurity,fiben_raw_listedsecurity,HASLASTTRADEDVALUE,BIGINT,YES,,,,haslasttradedvalue,False
raw,listedsecurity,fiben_raw_listedsecurity,HASLISTINGDATE,VARCHAR,YES,,,,haslistingdate,False
raw,listedsecurity,fiben_raw_listedsecurity,HASTICKERSYMBOL,VARCHAR,YES,,,,hastickersymbol,False
raw,listedsecurity,fiben_raw_listedsecurity,HASLEGALNAME,VARCHAR,YES,,,,haslegalname,False
raw,monetaryamount,fiben_raw_monetaryamount,MONETARYAMOUNTID,BIGINT,YES,,,,monetaryamountid,True
raw,monetaryamount,fiben_raw_monetaryamount,HASCURRENCY,BIGINT,YES,,,,hascurrency,False
raw,monetaryamount,fiben_raw_monetaryamount,HASAMOUNT,DOUBLE,YES,,,,hasamount,False
raw,person,fiben_raw_person,PERSONID,BIGINT,YES,,,,personid,True
raw,person,fiben_raw_person,HASPLACEOFBIRTH,DOUBLE,YES,,,,hasplaceofbirth,False
raw,person,fiben_raw_person,HASCITIZENSHIP,BIGINT,YES,,,,hascitizenship,False
raw,person,fiben_raw_person,HASGENDER,VARCHAR,YES,,,,hasgender,False
raw,person,fiben_raw_person,HASDATEOFBIRTH,VARCHAR,YES,,,,hasdateofbirth,False
raw,person,fiben_raw_person,HASPERSONNAME,VARCHAR,YES,,,,haspersonname,True
raw,person,fiben_raw_person,HASLASTNAME,VARCHAR,YES,,,,haslastname,False
raw,person,fiben_raw_person,HASFIRSTNAME,VARCHAR,YES,,,,hasfirstname,False
raw,person,fiben_raw_person,HASMIDDLENAMEORINITIAL,VARCHAR,YES,,,,hasmiddlenameorinitial,True
raw,securitiestransaction,fiben_raw_securitiestransaction,SECURITIESTRANSACTIONID,BIGINT,YES,,,,securitiestransactionid,True
raw,securitiestransaction,fiben_raw_securitiestransaction,ISFACILITATEDBY,BIGINT,YES,,,,isfacilitatedby,False
raw,securitiestransaction,fiben_raw_securitiestransaction,HASPRICE,BIGINT,YES,,,,hasprice,False
raw,securitiestransaction,fiben_raw_securitiestransaction,REFERSTO,BIGINT,YES,,,,refersto,False
raw,securitiestransaction,fiben_raw_securitiestransaction,HASTYPE,BIGINT,YES,,,,hastype,False
raw,securitiestransaction,fiben_raw_securitiestransaction,HASSETTLEMENTDATE,VARCHAR,YES,,,,hassettlementdate,False
raw,securitiestransaction,fiben_raw_securitiestransaction,HASCOUNT,DOUBLE,YES,,,,hascount,False
raw,security,fiben_raw_security,SECURITYID,BIGINT,YES,,,,securityid,True
raw,security,fiben_raw_security,ISTRADEDON,BIGINT,YES,,,,istradedon,False
raw,security,fiben_raw_security,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
semantic,corporations,fiben_corporations,CORPORATIONID,BIGINT,YES,,,,corporationid,True
semantic,corporations,fiben_corporations,ISCLASSIFIEDBY,BIGINT,YES,,,,isclassifiedby,False
semantic,corporations,fiben_corporations,ISDOMICILEDIN,BIGINT,YES,,,,isdomiciledin,False
semantic,corporations,fiben_corporations,HASTICKERSYMBOL,VARCHAR,YES,,,,hastickersymbol,False
semantic,corporations,fiben_corporations,HASLEGALNAME,VARCHAR,YES,,,,haslegalname,False
semantic,disclosures,fiben_disclosures,DISCLOSUREID,BIGINT,YES,,,,disclosureid,True
semantic,disclosures,fiben_disclosures,HASMETRICYEARCALENDAR,BIGINT,YES,,,,hasmetricyearcalendar,False
semantic,disclosures,fiben_disclosures,HASMETRICSTARTDATE,BIGINT,YES,,,,hasmetricstartdate,False
semantic,disclosures,fiben_disclosures,HASDOCUMENTTYPE,VARCHAR,YES,,,,hasdocumenttype,False
semantic,disclosures,fiben_disclosures,HASMETRICENDQUARTER,VARCHAR,YES,,,,hasmetricendquarter,False
semantic,disclosures,fiben_disclosures,HASUNIT,VARCHAR,YES,,,,hasunit,False
semantic,disclosures,fiben_disclosures,APPLICABLEPERIOD,VARCHAR,YES,,,,applicableperiod,False
semantic,disclosures,fiben_disclosures,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
semantic,disclosures,fiben_disclosures,HASMETRICENDDATE,BIGINT,YES,,,,hasmetricenddate,False
semantic,disclosures,fiben_disclosures,ISCOMPUTED,BOOLEAN,YES,,,,iscomputed,False
semantic,disclosures,fiben_disclosures,HASMETRICVALUE,DOUBLE,YES,,,,hasmetricvalue,False
semantic,disclosures,fiben_disclosures,HASMETRICYEARFISCAL,BIGINT,YES,,,,hasmetricyearfiscal,False
semantic,disclosures,fiben_disclosures,HASURL,VARCHAR,YES,,,,hasurl,False
semantic,disclosures,fiben_disclosures,HASMETRICCONTEXTDIMENSIONS,VARCHAR,YES,,,,hasmetriccontextdimensions,False
semantic,disclosures,fiben_disclosures,HASMETRICSTARTQUARTER,VARCHAR,YES,,,,hasmetricstartquarter,False
semantic,listed_securities,fiben_listed_securities,LISTEDSECURITYID,BIGINT,YES,,,,listedsecurityid,True
semantic,listed_securities,fiben_listed_securities,HASLASTTRADEDVALUE,BIGINT,YES,,,,haslasttradedvalue,False
semantic,listed_securities,fiben_listed_securities,HASLISTINGDATE,VARCHAR,YES,,,,haslistingdate,False
semantic,listed_securities,fiben_listed_securities,HASTICKERSYMBOL,VARCHAR,YES,,,,hastickersymbol,False
semantic,listed_securities,fiben_listed_securities,HASLEGALNAME,VARCHAR,YES,,,,haslegalname,False
semantic,reports,fiben_reports,FINANCIALREPORTID,BIGINT,YES,,,,financialreportid,True
semantic,reports,fiben_reports,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
semantic,reports,fiben_reports,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
semantic,securities,fiben_securities,SECURITYID,BIGINT,YES,,,,securityid,True
semantic,securities,fiben_securities,ISTRADEDON,BIGINT,YES,,,,istradedon,False
semantic,securities,fiben_securities,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
