query_name,generic_class,query_family,query_type,selected_root,entity,D,distance_status,path_entities,path_edge_ids,path_relationships,path_length,Rc,Rc_status
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,ListedSecurity,0,connected,['ListedSecurity'],[],[],0,3,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Person,0,connected,['Person'],[],[],0,6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,FinancialServiceAccount,1,connected,"['Person', 'FinancialServiceAccount']",['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account'],1,6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,BuyTransaction,3,connected,"['Person', 'FinancialServiceAccount', 'Transaction', 'BuyTransaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']","['person_owns_financial_service_account', 'account_records_transaction', 'buy_transaction_is_transaction']",3,6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,SellTransaction,3,connected,"['Person', 'FinancialServiceAccount', 'Transaction', 'SellTransaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']","['person_owns_financial_service_account', 'account_records_transaction', 'sell_transaction_is_transaction']",3,6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Transaction,2,connected,"['Person', 'FinancialServiceAccount', 'Transaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['person_owns_financial_service_account', 'account_records_transaction']",2,6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,ListedSecurity,3,connected,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security']",3,6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Corporation,4,connected,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security', 'corporation_has_listed_security']",4,6,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,Transaction,0,connected,['Transaction'],[],[],0,3,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,SellTransaction,1,connected,"['Transaction', 'SellTransaction']",['SellTransaction -- Transaction [sell_transaction_is_transaction]'],['sell_transaction_is_transaction'],1,3,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,ListedSecurity,1,connected,"['Transaction', 'ListedSecurity']",['Transaction -- ListedSecurity [transaction_refers_to_listed_security]'],['transaction_refers_to_listed_security'],1,3,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,Corporation,2,connected,"['Transaction', 'ListedSecurity', 'Corporation']","['Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']","['transaction_refers_to_listed_security', 'corporation_has_listed_security']",2,3,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,Person,0,connected,['Person'],[],[],0,5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,FinancialServiceAccount,1,connected,"['Person', 'FinancialServiceAccount']",['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account'],1,5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,BuyTransaction,3,connected,"['Person', 'FinancialServiceAccount', 'Transaction', 'BuyTransaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']","['person_owns_financial_service_account', 'account_records_transaction', 'buy_transaction_is_transaction']",3,5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,SellTransaction,3,connected,"['Person', 'FinancialServiceAccount', 'Transaction', 'SellTransaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']","['person_owns_financial_service_account', 'account_records_transaction', 'sell_transaction_is_transaction']",3,5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,Transaction,2,connected,"['Person', 'FinancialServiceAccount', 'Transaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['person_owns_financial_service_account', 'account_records_transaction']",2,5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,ListedSecurity,3,connected,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security']",3,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Person,0,connected,['Person'],[],[],0,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,FinancialServiceAccount,1,connected,"['Person', 'FinancialServiceAccount']",['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account'],1,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Holding,2,connected,"['Person', 'FinancialServiceAccount', 'Holding']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]']","['person_owns_financial_service_account', 'account_has_holding']",2,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,ListedSecurity,3,connected,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security']",3,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Transaction,2,connected,"['Person', 'FinancialServiceAccount', 'Transaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['person_owns_financial_service_account', 'account_records_transaction']",2,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,BuyTransaction,3,connected,"['Person', 'FinancialServiceAccount', 'Transaction', 'BuyTransaction']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']","['person_owns_financial_service_account', 'account_records_transaction', 'buy_transaction_is_transaction']",3,5,connected
