query_name,generic_class,query_family,query_type,selected_root,target_entity,target_distance_D,distance_status,edge_position_from_root,edge_depth,from_entity_on_path,to_entity_on_path,edge_id,relationship_name_on_path
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,ListedSecurity,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,ListedSecurity,3,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,ListedSecurity,3,connected,3,3,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Corporation,4,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Corporation,4,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Corporation,4,connected,3,3,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Corporation,4,connected,4,4,ListedSecurity,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,FinancialReport,1,connected,1,1,Corporation,FinancialReport,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,ReportElement,2,connected,1,1,Corporation,FinancialReport,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,ReportElement,2,connected,2,2,FinancialReport,ReportElement,FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,StatementElement,3,connected,1,1,Corporation,FinancialReport,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,StatementElement,3,connected,2,2,FinancialReport,ReportElement,FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,StatementElement,3,connected,3,3,ReportElement,StatementElement,ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,Disclosure,2,connected,1,1,Corporation,FinancialReport,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,Disclosure,2,connected,2,2,FinancialReport,Disclosure,FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Corporation,1,connected,1,1,ListedSecurity,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Industry,2,connected,1,1,ListedSecurity,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Industry,2,connected,2,2,Corporation,Industry,Corporation -- Industry [corporation_has_industry],corporation_has_industry
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Country,2,connected,1,1,ListedSecurity,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Country,2,connected,2,2,Corporation,Country,Corporation -- Country [corporation_has_country],corporation_has_country
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,FinancialServiceAccount,1,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,BuyTransaction,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,BuyTransaction,3,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,BuyTransaction,3,connected,3,3,Transaction,BuyTransaction,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,SellTransaction,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,SellTransaction,3,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,SellTransaction,3,connected,3,3,Transaction,SellTransaction,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Transaction,2,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Transaction,2,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,ListedSecurity,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,ListedSecurity,3,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,ListedSecurity,3,connected,3,3,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Corporation,4,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Corporation,4,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Corporation,4,connected,3,3,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Corporation,4,connected,4,4,ListedSecurity,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,SellTransaction,1,connected,1,1,Transaction,SellTransaction,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,ListedSecurity,1,connected,1,1,Transaction,ListedSecurity,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,Corporation,2,connected,1,1,Transaction,ListedSecurity,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,Corporation,2,connected,2,2,ListedSecurity,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,FinancialServiceAccount,1,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,BuyTransaction,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,BuyTransaction,3,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,BuyTransaction,3,connected,3,3,Transaction,BuyTransaction,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,SellTransaction,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,SellTransaction,3,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,SellTransaction,3,connected,3,3,Transaction,SellTransaction,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,Transaction,2,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,Transaction,2,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,ListedSecurity,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,ListedSecurity,3,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,ListedSecurity,3,connected,3,3,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,FinancialServiceAccount,1,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Holding,2,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Holding,2,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,ListedSecurity,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,ListedSecurity,3,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,ListedSecurity,3,connected,3,3,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Transaction,2,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Transaction,2,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,BuyTransaction,3,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,BuyTransaction,3,connected,2,2,FinancialServiceAccount,Transaction,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,BuyTransaction,3,connected,3,3,Transaction,BuyTransaction,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction
