query_name,generic_class,query_family,query_type,selected_root,edge_id,relationship_name,semantic_type,observed_cardinality,hint_confidence,min_edge_depth,max_edge_depth,n_path_occurrences,entities_reached_by_edge,target_entities_using_edge
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security,association,no_observed_matches,medium,3,3,1,['Security'],['Security']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,ownership,observed_N_to_M,high,1,1,4,['FinancialServiceAccount'],"['Corporation', 'FinancialServiceAccount', 'Holding', 'ListedSecurity']"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,observed_N_to_M,high,2,2,3,['Holding'],"['Corporation', 'Holding', 'ListedSecurity']"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,observed_N_to_M,high,3,3,2,['ListedSecurity'],"['Corporation', 'ListedSecurity']"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,no_observed_matches,medium,4,4,1,['Corporation'],['Corporation']
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,containment,observed_N_to_M,high,1,1,4,['FinancialReport'],"['Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']"
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure,containment,no_observed_matches,low,2,2,1,['Disclosure'],['Disclosure']
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,containment,observed_N_to_M,high,2,2,2,['ReportElement'],"['ReportElement', 'StatementElement']"
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,containment,no_observed_matches,low,3,3,1,['StatementElement'],['StatementElement']
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,no_observed_matches,medium,1,1,3,['Corporation'],"['Corporation', 'Country', 'Industry']"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Corporation -- Country [corporation_has_country],corporation_has_country,descriptor,observed_N_to_M,high,2,2,1,['Country'],['Country']
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Corporation -- Industry [corporation_has_industry],corporation_has_industry,descriptor,observed_N_to_M,high,2,2,1,['Industry'],['Industry']
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,ownership,observed_N_to_M,high,1,1,6,['FinancialServiceAccount'],"['BuyTransaction', 'Corporation', 'FinancialServiceAccount', 'ListedSecurity', 'SellTransaction', 'Transaction']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,observed_N_to_M,high,2,2,2,['Holding'],"['Corporation', 'ListedSecurity']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,containment,observed_N_to_M,high,2,2,3,['Transaction'],"['BuyTransaction', 'SellTransaction', 'Transaction']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,subtype,observed_1_to_1,medium,3,3,1,['BuyTransaction'],['BuyTransaction']
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,observed_N_to_M,high,3,3,2,['ListedSecurity'],"['Corporation', 'ListedSecurity']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,subtype,observed_1_to_1,medium,3,3,1,['SellTransaction'],['SellTransaction']
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,no_observed_matches,medium,4,4,1,['Corporation'],['Corporation']
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,subtype,observed_1_to_1,medium,1,1,1,['SellTransaction'],['SellTransaction']
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,association,observed_N_to_M,high,1,1,2,['ListedSecurity'],"['Corporation', 'ListedSecurity']"
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,no_observed_matches,medium,2,2,1,['Corporation'],['Corporation']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,ownership,observed_N_to_M,high,1,1,5,['FinancialServiceAccount'],"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'SellTransaction', 'Transaction']"
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,observed_N_to_M,high,2,2,1,['Holding'],['ListedSecurity']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,containment,observed_N_to_M,high,2,2,3,['Transaction'],"['BuyTransaction', 'SellTransaction', 'Transaction']"
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,subtype,observed_1_to_1,medium,3,3,1,['BuyTransaction'],['BuyTransaction']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,observed_N_to_M,high,3,3,1,['ListedSecurity'],['ListedSecurity']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,subtype,observed_1_to_1,medium,3,3,1,['SellTransaction'],['SellTransaction']
