rate_id,user_id,watchitem_id,rating,verbal_rating
147,30,17,10,Excellent
148,30,69,6,Average
149,30,4,7,Good
150,30,51,4,Bad
151,30,73,10,Excellent
152,30,77,1,Bad
153,30,11,3,Bad
154,31,55,5,Average
155,31,18,5,Average
156,31,60,2,Bad
157,31,24,3,Bad
158,31,7,1,Bad
159,32,34,4,Bad
160,32,49,6,Average
161,32,42,6,Average
162,32,28,8,Good
163,32,59,6,Average
164,32,78,7,Good
165,33,44,7,Good
166,33,49,7,Good
167,33,36,4,Bad
168,33,54,3,Bad
169,33,33,8,Good
170,33,11,4,Bad
171,34,61,2,Bad
172,34,3,5,Average
173,34,70,6,Average
174,34,7,7,Good
175,34,45,6,Average
176,34,29,4,Bad
177,35,9,6,Average
178,35,6,9,Excellent
179,35,4,8,Good
180,35,32,6,Average
181,35,26,9,Excellent
182,35,3,2,Bad
183,35,20,10,Excellent
184,35,31,9,Excellent
185,35,17,6,Average
186,36,61,6,Average
187,36,15,3,Bad
188,36,73,8,Good
189,36,28,3,Bad
190,36,60,4,Bad
191,36,33,6,Average
192,36,48,9,Excellent
193,37,22,5,Average
194,37,78,1,Bad
195,37,15,2,Bad
196,37,21,1,Bad
197,37,40,1,Bad
198,38,14,9,Excellent
199,38,75,9,Excellent
200,38,4,1,Bad
201,38,40,1,Bad
202,38,74,3,Bad
203,38,49,6,Average
204,38,51,4,Bad
205,38,26,5,Average
206,39,10,8,Good
207,39,76,4,Bad
208,39,32,1,Bad
209,40,14,10,Excellent
210,40,39,1,Bad
211,40,77,5,Average
212,40,16,9,Excellent
213,40,73,8,Good
214,40,6,9,Excellent
215,40,45,5,Average
216,41,69,8,Good
217,41,55,2,Bad
218,41,48,3,Bad
219,41,9,7,Good
220,42,65,2,Bad
221,42,44,6,Average
222,42,2,4,Bad
223,42,54,6,Average
224,42,63,10,Excellent
225,42,14,1,Bad
226,42,56,10,Excellent
227,43,47,8,Good
228,43,59,5,Average
229,43,20,4,Bad
230,43,56,8,Good
231,43,23,7,Good
232,44,67,8,Good
233,44,35,8,Good
234,44,79,4,Bad
235,45,69,7,Good
236,45,62,4,Bad
237,45,60,1,Bad
238,45,56,7,Good
239,45,76,3,Bad
240,45,35,8,Good
241,45,42,6,Average
242,45,32,5,Average
243,45,12,2,Bad
244,46,36,2,Bad
245,46,58,5,Average
246,46,32,9,Excellent
247,46,60,10,Excellent
248,46,73,10,Excellent
249,46,49,10,Excellent
250,46,44,6,Average
251,47,4,9,Excellent
252,47,64,9,Excellent
253,47,42,10,Excellent
254,48,24,2,Bad
255,48,63,6,Average
256,48,28,5,Average
257,48,46,9,Excellent
258,48,34,4,Bad
259,48,44,4,Bad
260,48,36,1,Bad
261,49,77,8,Good
262,49,36,1,Bad
263,49,72,5,Average
264,49,2,5,Average
265,49,67,5,Average
266,49,25,10,Excellent
267,49,11,2,Bad
268,49,31,4,Bad
269,50,53,3,Bad
270,50,63,10,Excellent
271,50,72,10,Excellent
272,51,31,7,Good
273,51,61,3,Bad
274,52,63,3,Bad
275,52,58,2,Bad
276,52,3,5,Average
277,53,12,6,Average
278,53,38,8,Good
279,53,29,5,Average
280,53,52,1,Bad
281,53,32,1,Bad
282,53,40,3,Bad
283,53,48,3,Bad
284,53,61,9,Excellent
285,53,71,9,Excellent
286,54,68,7,Good
287,54,45,6,Average
288,54,55,7,Good
289,54,71,5,Average
290,54,43,7,Good
291,54,46,8,Good
292,54,59,8,Good
293,54,35,7,Good
294,55,40,8,Good
295,55,33,4,Bad
296,56,30,6,Average
297,56,16,9,Excellent
298,56,25,4,Bad
299,56,41,10,Excellent
300,56,79,9,Excellent
301,56,69,4,Bad
302,56,24,5,Average
303,57,25,8,Good
304,57,28,7,Good
305,57,62,9,Excellent
306,57,36,4,Bad
307,57,76,6,Average
308,57,68,5,Average
309,58,77,4,Bad
310,58,37,6,Average
311,58,13,2,Bad
312,58,25,9,Excellent
313,58,38,4,Bad
314,58,30,4,Bad
315,58,47,6,Average
316,58,23,5,Average
317,58,39,9,Excellent
318,59,2,6,Average
319,59,69,2,Bad
320,59,17,1,Bad
321,59,36,4,Bad
322,59,6,10,Excellent
323,59,7,10,Excellent
324,60,71,7,Good
325,60,38,4,Bad
326,60,17,2,Bad
327,60,63,1,Bad
328,60,14,4,Bad
329,60,2,4,Bad
330,60,74,2,Bad
331,61,37,1,Bad
332,61,61,7,Good
333,61,62,10,Excellent
334,61,57,7,Good
335,62,44,5,Average
336,62,24,4,Bad
337,62,7,2,Bad
338,62,33,6,Average
339,62,62,6,Average
340,63,15,5,Average
341,63,9,3,Bad
342,64,52,8,Good
343,64,63,6,Average
344,64,10,7,Good
345,65,74,10,Excellent
346,65,7,9,Excellent
347,65,20,7,Good
348,65,78,9,Excellent
349,65,73,5,Average
350,65,39,10,Excellent
351,65,11,8,Good
352,66,32,10,Excellent
353,66,16,6,Average
354,66,72,8,Good
355,66,54,3,Bad
356,66,29,10,Excellent
357,66,67,7,Good
358,66,49,8,Good
359,67,58,9,Excellent
360,67,57,1,Bad
361,67,39,2,Bad
362,67,76,6,Average
363,67,55,8,Good
364,68,40,5,Average
365,68,73,7,Good
366,68,8,6,Average
367,68,13,10,Excellent
368,68,27,7,Good
369,68,28,5,Average
370,68,34,10,Excellent
371,68,11,2,Bad
372,69,21,2,Bad
373,69,31,3,Bad
374,69,23,9,Excellent
375,69,71,8,Good
376,69,10,10,Excellent
377,69,80,8,Good
378,69,1,7,Good
379,69,53,4,Bad
380,69,58,1,Bad
381,70,77,3,Bad
382,70,61,1,Bad
383,71,38,8,Good
384,71,5,10,Excellent
385,71,30,5,Average
386,71,37,9,Excellent
387,71,77,10,Excellent
388,71,59,9,Excellent
389,72,10,4,Bad
390,72,30,10,Excellent
391,72,34,3,Bad
392,72,76,5,Average
393,72,26,1,Bad
394,73,55,7,Good
395,73,15,1,Bad
396,73,70,3,Bad
397,73,29,6,Average
398,73,20,6,Average
399,73,35,9,Excellent
400,73,19,3,Bad
401,73,10,10,Excellent
402,74,8,9,Excellent
403,74,22,3,Bad
404,74,40,1,Bad
405,74,77,1,Bad
406,74,73,4,Bad
407,75,37,1,Bad
408,75,57,4,Bad
409,75,16,2,Bad
410,75,60,10,Excellent
411,75,39,7,Good
412,75,52,8,Good
413,75,35,8,Good
414,75,65,7,Good
415,75,70,8,Good
416,76,64,9,Excellent
417,76,57,8,Good
418,77,11,4,Bad
419,77,77,9,Excellent
420,77,6,4,Bad
421,77,56,1,Bad
422,77,42,10,Excellent
423,77,33,3,Bad
424,77,4,2,Bad
425,78,12,3,Bad
426,78,30,9,Excellent
427,78,74,5,Average
428,78,76,1,Bad
429,78,3,10,Excellent
430,78,35,6,Average
431,79,74,7,Good
432,79,6,6,Average
433,79,23,1,Bad
434,79,61,8,Good
435,80,67,7,Good
436,80,57,9,Excellent
437,80,36,7,Good
438,80,24,7,Good
439,80,75,3,Bad
440,81,56,5,Average
441,81,63,9,Excellent
442,81,12,6,Average
443,82,61,8,Good
444,82,45,9,Excellent
445,82,53,10,Excellent
446,82,43,3,Bad
447,83,42,6,Average
448,83,14,5,Average
449,83,21,4,Bad
450,83,43,2,Bad
451,83,53,3,Bad
452,83,64,6,Average
453,83,37,9,Excellent
454,84,52,2,Bad
455,84,71,7,Good
456,84,5,1,Bad
457,84,59,7,Good
458,84,12,4,Bad
459,84,41,5,Average
460,84,33,8,Good
461,84,42,5,Average
462,85,15,6,Average
463,85,52,10,Excellent
464,85,66,7,Good
465,85,1,3,Bad
466,85,70,8,Good
467,85,60,5,Average
468,85,53,6,Average
469,85,7,2,Bad
470,86,25,6,Average
471,86,67,2,Bad
472,87,47,9,Excellent
473,87,64,8,Good
474,87,57,8,Good
475,87,7,6,Average
476,87,27,1,Bad
477,87,35,4,Bad
478,87,71,5,Average
479,87,17,10,Excellent
480,87,37,3,Bad
481,88,57,4,Bad
482,88,63,2,Bad
483,88,16,2,Bad
484,88,4,4,Bad
485,88,78,1,Bad
486,89,31,4,Bad
487,89,21,3,Bad
488,90,40,1,Bad
489,90,71,4,Bad
490,90,2,5,Average
491,90,79,10,Excellent
492,90,53,7,Good
493,90,12,9,Excellent
494,91,29,5,Average
495,91,15,5,Average
496,91,60,9,Excellent
497,91,16,10,Excellent
498,92,20,8,Good
499,92,64,6,Average
500,92,38,6,Average
501,92,66,10,Excellent
502,92,35,3,Bad
503,92,54,4,Bad
504,92,62,9,Excellent
505,92,61,4,Bad
506,92,32,3,Bad
507,93,59,4,Bad
508,93,71,9,Excellent
509,93,19,10,Excellent
510,93,50,4,Bad
511,93,25,6,Average
512,93,66,10,Excellent
513,94,18,3,Bad
514,94,9,6,Average
515,94,36,7,Good
516,94,54,7,Good
517,94,44,1,Bad
518,94,65,3,Bad
519,94,35,9,Excellent
520,95,1,3,Bad
521,95,37,4,Bad
522,95,39,2,Bad
523,96,76,4,Bad
524,96,75,9,Excellent
525,96,63,1,Bad
526,97,20,1,Bad
527,97,58,6,Average
528,97,69,3,Bad
529,97,62,8,Good
530,98,45,8,Good
531,98,43,7,Good
532,98,71,5,Average
533,98,70,9,Excellent
534,98,49,5,Average
535,98,59,10,Excellent
536,99,42,6,Average
537,99,25,7,Good
538,99,31,3,Bad
539,99,74,9,Excellent
540,99,50,7,Good
541,99,30,10,Excellent
542,99,53,3,Bad
543,99,6,8,Good
544,99,41,5,Average
545,100,61,2,Bad
546,100,49,6,Average
547,100,50,4,Bad
